annotator subject1 verb1 object1 subject2 verb2 object2 score
participant13 case require attention customer pay price 1
participant13 man wave hand employee leave company 1
participant13 woman drink water doctor use test 1
participant13 people share interest authority exercise influence 3
participant13 service provide help product satisfy demand 6
participant17 pupil use knowledge authority exercise influence 4
participant17 superpower fight war force win battle 5
participant17 programme offer support service provide help 7
participant17 researcher develop technique government use power 3
participant17 pupil achieve end gentleman close eye 1
participant17 commodity meet requirement charity help people 1
participant17 wife pour tea woman drink water 6
participant17 author write book delegate buy land 1
participant17 paper address question project present problem 4
participant17 report stress importance firm cause injury 1
participant17 agent sell property group hold meeting 1
participant17 customer pay price company cut cost 1
participant17 committee consider matter panel discuss issue 6
participant17 school encourage child employee leave company 2
participant17 man shut door route follow road 1
participant17 drug produce effect employee start work 1
participant17 parent set example company provide system 3
participant17 graduate begin career company suffer loss 1
participant17 patient need treatment system use method 2
participant17 study pose problem programme face difficulty 4
participant17 woman ask man user send message 2
participant17 member attend conference case require attention 1
participant17 writer read word family receive letter 2
participant17 survey collect information page provide datum 3
participant17 team win match design reduce amount 1
participant17 physician pass time road cross line 1
participant17 man hear word people remember name 6
participant17 mother leave house family buy home 2
participant17 medication achieve result student reach level 3
participant17 student acquire skill doctor use test 1
participant17 man lift hand question raise head 2
participant17 girl like people plan increase number 1
participant17 product satisfy demand study emphasise need 1
participant17 people play game worker join party 2
participant17 father stretch arm man wave hand 2
participant17 people share interest member express view 5
participant20 pupil use knowledge authority exercise influence 6
participant20 superpower fight war force win battle 7
participant20 programme offer support service provide help 7
participant20 researcher develop technique government use power 5
participant20 pupil achieve end gentleman close eye 1
participant20 commodity meet requirement charity help people 3
participant20 wife pour tea woman drink water 5
participant20 product satisfy demand study emphasise need 4
participant20 paper address question project present problem 3
participant20 report stress importance firm cause injury 1
participant20 woman ask man user send message 7
participant20 medication achieve result student reach level 7
participant20 committee consider matter panel discuss issue 7
participant20 school encourage child employee leave company 1
participant20 man shut door route follow road 1
participant20 drug produce effect employee start work 4
participant20 parent set example company provide system 5
participant20 graduate begin career company suffer loss 2
participant20 patient need treatment system use method 1
participant20 study pose problem programme face difficulty 2
participant20 agent sell property group hold meeting 3
participant20 member attend conference case require attention 5
participant20 writer read word family receive letter 7
participant20 survey collect information page provide datum 2
participant20 team win match design reduce amount 1
participant20 physician pass time road cross line 1
participant20 man hear word people remember name 5
participant20 mother leave house family buy home 3
participant20 customer pay price company cut cost 3
participant20 student acquire skill doctor use test 7
participant20 man lift hand question raise head 3
participant20 girl like people plan increase number 7
participant20 author write book delegate buy land 1
participant20 people play game worker join party 5
participant20 father stretch arm man wave hand 5
participant20 people share interest member express view 7
participant22 pupil use knowledge company provide system 3
participant22 superpower fight war team win match 5
participant22 programme offer support road cross line 2
participant22 wife pour tea study emphasise need 1
participant22 product satisfy demand commodity meet requirement 6
participant22 member express view pupil achieve end 2
participant22 route follow road parent set example 1
participant22 delegate buy land agent sell property 3
participant22 report stress importance company cut cost 3
participant22 woman ask man father stretch arm 4
participant22 charity help people panel discuss issue 4
participant22 question raise head paper address question 5
participant22 medication achieve result drug produce effect 5
participant22 committee consider matter study pose problem 4
participant22 worker join party employee leave company 3
participant22 man shut door gentleman close eye 1
participant22 plan increase number design reduce amount 2
participant22 user send message family receive letter 3
participant22 force win battle people play game 4
participant22 member attend conference people share interest 5
participant22 writer read word people remember name 3
participant22 company suffer loss firm cause injury 3
participant22 doctor use test physician pass time 2
participant22 mother leave house school encourage child 1
participant22 project present problem programme face difficulty 5
participant22 customer pay price graduate begin career 2
participant22 student acquire skill family buy home 2
participant22 girl like people survey collect information 2
participant22 government use power authority exercise influence 4
participant22 group hold meeting man lift hand 2
participant22 author write book man hear word 3
participant22 case require attention patient need treatment 4
participant22 man wave hand employee start work 2
participant22 page provide datum student reach level 5
participant22 woman drink water system use method 3
participant22 service provide help researcher develop technique 3
participant26 pupil use knowledge student acquire skill 5
participant26 superpower fight war plan increase number 3
participant26 researcher develop technique system use method 5
participant26 pupil achieve end student reach level 7
participant26 people remember name physician pass time 1
participant26 wife pour tea worker join party 5
participant26 paper address question study pose problem 5
participant26 family receive letter survey collect information 5
participant26 member express view company suffer loss 2
participant26 employee start work graduate begin career 7
participant26 delegate buy land mother leave house 1
participant26 panel discuss issue project present problem 6
participant26 report stress importance study emphasise need 7
participant26 agent sell property family buy home 4
participant26 charity help people school encourage child 5
participant26 design reduce amount company cut cost 7
participant26 firm cause injury question raise head 1
participant26 man shut door page provide datum 1
participant26 road cross line route follow road 1
participant26 drug produce effect committee consider matter 2
participant26 user send message man hear word 5
participant26 patient need treatment programme offer support 1
participant26 force win battle commodity meet requirement 4
participant26 member attend conference group hold meeting 5
participant26 team win match people play game 5
participant26 company provide system government use power 4
participant26 medication achieve result man lift hand 1
participant26 gentleman close eye father stretch arm 2
participant26 programme face difficulty parent set example 5
participant26 girl like people woman ask man 1
participant26 author write book writer read word 3
participant26 case require attention customer pay price 2
participant26 man wave hand employee leave company 1
participant26 woman drink water doctor use test 1
participant26 people share interest authority exercise influence 6
participant26 service provide help product satisfy demand 6
participant27 pupil use knowledge company provide system 3
participant27 superpower fight war team win match 6
participant27 programme offer support road cross line 1
participant27 wife pour tea study emphasise need 1
participant27 author write book man hear word 1
participant27 page provide datum student reach level 2
participant27 route follow road parent set example 3
participant27 delegate buy land agent sell property 2
participant27 report stress importance company cut cost 2
participant27 woman ask man father stretch arm 1
participant27 charity help people panel discuss issue 3
participant27 question raise head paper address question 2
participant27 customer pay price graduate begin career 2
participant27 committee consider matter study pose problem 2
participant27 worker join party employee leave company 2
participant27 man shut door gentleman close eye 2
participant27 plan increase number design reduce amount 1
participant27 user send message family receive letter 1
participant27 force win battle people play game 4
participant27 member attend conference people share interest 3
participant27 writer read word people remember name 2
participant27 company suffer loss firm cause injury 1
participant27 doctor use test physician pass time 2
participant27 mother leave house school encourage child 1
participant27 project present problem programme face difficulty 1
participant27 medication achieve result drug produce effect 7
participant27 student acquire skill family buy home 1
participant27 girl like people survey collect information 1
participant27 government use power authority exercise influence 7
participant27 group hold meeting man lift hand 1
participant27 product satisfy demand commodity meet requirement 7
participant27 case require attention patient need treatment 6
participant27 man wave hand employee start work 1
participant27 member express view pupil achieve end 2
participant27 woman drink water system use method 1
participant27 service provide help researcher develop technique 1
participant28 pupil use knowledge authority exercise influence 6
participant28 superpower fight war force win battle 4
participant28 programme offer support service provide help 6
participant28 researcher develop technique government use power 3
participant28 pupil achieve end gentleman close eye 1
participant28 commodity meet requirement charity help people 2
participant28 wife pour tea woman drink water 3
participant28 product satisfy demand study emphasise need 3
participant28 paper address question project present problem 5
participant28 report stress importance firm cause injury 2
participant28 woman ask man user send message 3
participant28 medication achieve result student reach level 6
participant28 committee consider matter panel discuss issue 5
participant28 school encourage child employee leave company 1
participant28 man shut door route follow road 1
participant28 drug produce effect employee start work 2
participant28 parent set example company provide system 6
participant28 graduate begin career company suffer loss 1
participant28 patient need treatment system use method 1
participant28 study pose problem programme face difficulty 4
participant28 agent sell property group hold meeting 1
participant28 member attend conference case require attention 2
participant28 writer read word family receive letter 2
participant28 survey collect information page provide datum 7
participant28 team win match design reduce amount 1
participant28 physician pass time road cross line 1
participant28 man hear word people remember name 3
participant28 mother leave house family buy home 2
participant28 customer pay price company cut cost 1
participant28 student acquire skill doctor use test 3
participant28 man lift hand question raise head 4
participant28 girl like people plan increase number 1
participant28 author write book delegate buy land 1
participant28 people play game worker join party 1
participant28 father stretch arm man wave hand 2
participant28 people share interest member express view 6
participant31 pupil use knowledge student acquire skill 3
participant31 superpower fight war plan increase number 3
participant31 researcher develop technique system use method 3
participant31 pupil achieve end student reach level 5
participant31 people remember name physician pass time 3
participant31 wife pour tea worker join party 3
participant31 paper address question study pose problem 3
participant31 family receive letter survey collect information 4
participant31 member express view company suffer loss 2
participant31 employee start work graduate begin career 5
participant31 delegate buy land mother leave house 3
participant31 panel discuss issue project present problem 4
participant31 report stress importance study emphasise need 5
participant31 agent sell property family buy home 3
participant31 charity help people school encourage child 3
participant31 design reduce amount company cut cost 6
participant31 firm cause injury question raise head 2
participant31 man shut door page provide datum 2
participant31 road cross line route follow road 3
participant31 drug produce effect committee consider matter 3
participant31 user send message man hear word 3
participant31 patient need treatment programme offer support 3
participant31 force win battle commodity meet requirement 2
participant31 member attend conference group hold meeting 4
participant31 team win match people play game 3
participant31 company provide system government use power 2
participant31 medication achieve result man lift hand 2
participant31 gentleman close eye father stretch arm 2
participant31 programme face difficulty parent set example 2
participant31 girl like people woman ask man 2
participant31 author write book writer read word 4
participant31 case require attention customer pay price 2
participant31 man wave hand employee leave company 2
participant31 woman drink water doctor use test 2
participant31 people share interest authority exercise influence 3
participant31 service provide help product satisfy demand 4
participant32 pupil use knowledge company provide system 5
participant32 superpower fight war team win match 2
participant32 programme offer support road cross line 1
participant32 wife pour tea study emphasise need 1
participant32 author write book man hear word 1
participant32 page provide datum student reach level 4
participant32 route follow road parent set example 1
participant32 delegate buy land agent sell property 1
participant32 report stress importance company cut cost 1
participant32 woman ask man father stretch arm 1
participant32 charity help people panel discuss issue 6
participant32 question raise head paper address question 1
participant32 medication achieve result drug produce effect 6
participant32 committee consider matter study pose problem 7
participant32 worker join party employee leave company 1
participant32 man shut door gentleman close eye 1
participant32 plan increase number design reduce amount 1
participant32 user send message family receive letter 1
participant32 force win battle people play game 2
participant32 member attend conference people share interest 3
participant32 writer read word people remember name 2
participant32 company suffer loss firm cause injury 2
participant32 doctor use test physician pass time 1
participant32 mother leave house school encourage child 1
participant32 project present problem programme face difficulty 3
participant32 customer pay price graduate begin career 1
participant32 student acquire skill family buy home 1
participant32 girl like people survey collect information 1
participant32 government use power authority exercise influence 7
participant32 group hold meeting man lift hand 1
participant32 product satisfy demand commodity meet requirement 7
participant32 case require attention patient need treatment 7
participant32 man wave hand employee start work 1
participant32 member express view pupil achieve end 4
participant32 woman drink water system use method 1
participant32 service provide help researcher develop technique 4
participant34 pupil use knowledge student acquire skill 5
participant34 superpower fight war plan increase number 1
participant34 researcher develop technique system use method 4
participant34 pupil achieve end student reach level 4
participant34 people remember name physician pass time 1
participant34 wife pour tea worker join party 2
participant34 paper address question study pose problem 4
participant34 family receive letter survey collect information 3
participant34 member express view company suffer loss 2
participant34 employee start work graduate begin career 2
participant34 delegate buy land mother leave house 4
participant34 panel discuss issue project present problem 4
participant34 report stress importance study emphasise need 5
participant34 agent sell property family buy home 3
participant34 charity help people school encourage child 3
participant34 design reduce amount company cut cost 7
participant34 firm cause injury question raise head 4
participant34 man shut door page provide datum 1
participant34 road cross line route follow road 3
participant34 drug produce effect committee consider matter 2
participant34 user send message man hear word 3
participant34 patient need treatment programme offer support 2
participant34 force win battle commodity meet requirement 5
participant34 member attend conference group hold meeting 3
participant34 team win match people play game 3
participant34 company provide system government use power 3
participant34 medication achieve result man lift hand 2
participant34 gentleman close eye father stretch arm 1
participant34 programme face difficulty parent set example 4
participant34 girl like people woman ask man 2
participant34 author write book writer read word 1
participant34 case require attention customer pay price 3
participant34 man wave hand employee leave company 1
participant34 woman drink water doctor use test 1
participant34 people share interest authority exercise influence 4
participant34 service provide help product satisfy demand 3
participant35 pupil use knowledge student acquire skill 7
participant35 superpower fight war plan increase number 1
participant35 researcher develop technique system use method 7
participant35 pupil achieve end student reach level 4
participant35 people remember name physician pass time 1
participant35 wife pour tea worker join party 1
participant35 paper address question study pose problem 7
participant35 family receive letter survey collect information 7
participant35 member express view company suffer loss 1
participant35 employee start work graduate begin career 7
participant35 delegate buy land mother leave house 1
participant35 panel discuss issue project present problem 4
participant35 report stress importance study emphasise need 7
participant35 agent sell property family buy home 1
participant35 charity help people school encourage child 1
participant35 design reduce amount company cut cost 7
participant35 firm cause injury question raise head 1
participant35 man shut door page provide datum 1
participant35 road cross line route follow road 1
participant35 drug produce effect committee consider matter 4
participant35 user send message man hear word 1
participant35 patient need treatment programme offer support 1
participant35 force win battle commodity meet requirement 7
participant35 member attend conference group hold meeting 5
participant35 team win match people play game 1
participant35 company provide system government use power 1
participant35 medication achieve result man lift hand 1
participant35 gentleman close eye father stretch arm 1
participant35 programme face difficulty parent set example 4
participant35 girl like people woman ask man 1
participant35 author write book writer read word 4
participant35 case require attention customer pay price 5
participant35 man wave hand employee leave company 1
participant35 woman drink water doctor use test 1
participant35 people share interest authority exercise influence 4
participant35 service provide help product satisfy demand 7
participant36 pupil use knowledge student acquire skill 1
participant36 superpower fight war plan increase number 1
participant36 researcher develop technique system use method 3
participant36 pupil achieve end student reach level 3
participant36 people remember name physician pass time 1
participant36 wife pour tea worker join party 1
participant36 paper address question study pose problem 4
participant36 family receive letter survey collect information 3
participant36 member express view company suffer loss 1
participant36 employee start work graduate begin career 3
participant36 delegate buy land mother leave house 1
participant36 panel discuss issue project present problem 3
participant36 report stress importance study emphasise need 7
participant36 agent sell property family buy home 1
participant36 charity help people school encourage child 2
participant36 design reduce amount company cut cost 6
participant36 firm cause injury question raise head 1
participant36 man shut door page provide datum 1
participant36 road cross line route follow road 1
participant36 drug produce effect committee consider matter 1
participant36 user send message man hear word 1
participant36 patient need treatment programme offer support 1
participant36 force win battle commodity meet requirement 1
participant36 member attend conference group hold meeting 2
participant36 team win match people play game 1
participant36 company provide system government use power 1
participant36 medication achieve result man lift hand 1
participant36 gentleman close eye father stretch arm 1
participant36 programme face difficulty parent set example 1
participant36 girl like people woman ask man 1
participant36 author write book writer read word 1
participant36 case require attention customer pay price 1
participant36 man wave hand employee leave company 1
participant36 woman drink water doctor use test 1
participant36 people share interest authority exercise influence 3
participant36 service provide help product satisfy demand 1
participant44 pupil use knowledge authority exercise influence 3
participant44 superpower fight war force win battle 5
participant44 programme offer support service provide help 7
participant44 researcher develop technique government use power 5
participant44 pupil achieve end gentleman close eye 3
participant44 commodity meet requirement charity help people 2
participant44 wife pour tea woman drink water 3
participant44 product satisfy demand study emphasise need 2
participant44 paper address question project present problem 5
participant44 report stress importance firm cause injury 2
participant44 woman ask man user send message 4
participant44 medication achieve result student reach level 7
participant44 committee consider matter panel discuss issue 4
participant44 school encourage child employee leave company 2
participant44 man shut door route follow road 3
participant44 drug produce effect employee start work 3
participant44 parent set example company provide system 5
participant44 graduate begin career company suffer loss 2
participant44 patient need treatment system use method 3
participant44 study pose problem programme face difficulty 4
participant44 agent sell property group hold meeting 2
participant44 member attend conference case require attention 2
participant44 writer read word family receive letter 3
participant44 survey collect information page provide datum 2
participant44 team win match design reduce amount 2
participant44 physician pass time road cross line 3
participant44 man hear word people remember name 3
participant44 mother leave house family buy home 3
participant44 customer pay price company cut cost 5
participant44 student acquire skill doctor use test 3
participant44 man lift hand question raise head 2
participant44 girl like people plan increase number 2
participant44 author write book delegate buy land 2
participant44 people play game worker join party 4
participant44 father stretch arm man wave hand 5
participant44 people share interest member express view 5
participant48 pupil use knowledge authority exercise influence 6
participant48 superpower fight war force win battle 3
participant48 programme offer support service provide help 6
participant48 researcher develop technique government use power 6
participant48 pupil achieve end gentleman close eye 1
participant48 commodity meet requirement charity help people 1
participant48 wife pour tea woman drink water 1
participant48 product satisfy demand study emphasise need 2
participant48 paper address question project present problem 1
participant48 report stress importance firm cause injury 1
participant48 woman ask man user send message 1
participant48 medication achieve result student reach level 7
participant48 committee consider matter panel discuss issue 5
participant48 school encourage child employee leave company 1
participant48 man shut door route follow road 1
participant48 drug produce effect employee start work 4
participant48 parent set example company provide system 1
participant48 graduate begin career company suffer loss 1
participant48 patient need treatment system use method 1
participant48 study pose problem programme face difficulty 4
participant48 agent sell property group hold meeting 1
participant48 member attend conference case require attention 2
participant48 writer read word family receive letter 1
participant48 survey collect information page provide datum 2
participant48 team win match design reduce amount 1
participant48 physician pass time road cross line 1
participant48 man hear word people remember name 1
participant48 mother leave house family buy home 1
participant48 customer pay price company cut cost 1
participant48 student acquire skill doctor use test 1
participant48 man lift hand question raise head 1
participant48 girl like people plan increase number 1
participant48 author write book delegate buy land 1
participant48 people play game worker join party 2
participant48 father stretch arm man wave hand 2
participant48 people share interest member express view 7
participant50 pupil use knowledge authority exercise influence 5
participant50 superpower fight war force win battle 5
participant50 programme offer support service provide help 7
participant50 researcher develop technique government use power 5
participant50 pupil achieve end gentleman close eye 3
participant50 commodity meet requirement charity help people 4
participant50 wife pour tea woman drink water 2
participant50 product satisfy demand study emphasise need 3
participant50 paper address question project present problem 6
participant50 report stress importance firm cause injury 3
participant50 agent sell property group hold meeting 3
participant50 medication achieve result student reach level 5
participant50 committee consider matter panel discuss issue 7
participant50 school encourage child employee leave company 2
participant50 man shut door route follow road 3
participant50 drug produce effect employee start work 5
participant50 parent set example company provide system 3
participant50 graduate begin career company suffer loss 2
participant50 patient need treatment system use method 2
participant50 study pose problem programme face difficulty 4
participant50 woman ask man user send message 3
participant50 member attend conference case require attention 2
participant50 writer read word family receive letter 4
participant50 survey collect information page provide datum 5
participant50 team win match design reduce amount 2
participant50 physician pass time road cross line 1
participant50 man hear word people remember name 4
participant50 mother leave house family buy home 2
participant50 customer pay price company cut cost 3
participant50 student acquire skill doctor use test 3
participant50 man lift hand question raise head 4
participant50 girl like people plan increase number 1
participant50 author write book delegate buy land 2
participant50 people play game worker join party 3
participant50 father stretch arm man wave hand 5
participant50 people share interest member express view 7
participant57 pupil use knowledge student acquire skill 3
participant57 superpower fight war plan increase number 1
participant57 researcher develop technique system use method 3
participant57 pupil achieve end student reach level 5
participant57 people remember name physician pass time 1
participant57 wife pour tea worker join party 2
participant57 paper address question study pose problem 5
participant57 family receive letter survey collect information 3
participant57 member express view company suffer loss 1
participant57 employee start work graduate begin career 6
participant57 delegate buy land mother leave house 1
participant57 panel discuss issue project present problem 6
participant57 report stress importance study emphasise need 7
participant57 agent sell property family buy home 3
participant57 charity help people school encourage child 2
participant57 design reduce amount company cut cost 7
participant57 firm cause injury question raise head 1
participant57 man shut door page provide datum 1
participant57 road cross line route follow road 1
participant57 drug produce effect committee consider matter 1
participant57 user send message man hear word 1
participant57 patient need treatment programme offer support 1
participant57 force win battle commodity meet requirement 1
participant57 member attend conference group hold meeting 3
participant57 team win match people play game 5
participant57 company provide system government use power 1
participant57 medication achieve result man lift hand 1
participant57 gentleman close eye father stretch arm 2
participant57 programme face difficulty parent set example 1
participant57 girl like people woman ask man 1
participant57 author write book writer read word 2
participant57 case require attention customer pay price 1
participant57 man wave hand employee leave company 1
participant57 woman drink water doctor use test 1
participant57 people share interest authority exercise influence 2
participant57 service provide help product satisfy demand 4
participant66 pupil use knowledge student acquire skill 3
participant66 superpower fight war plan increase number 1
participant66 researcher develop technique system use method 1
participant66 pupil achieve end student reach level 5
participant66 people remember name physician pass time 1
participant66 wife pour tea worker join party 1
participant66 paper address question study pose problem 3
participant66 family receive letter survey collect information 3
participant66 member express view company suffer loss 1
participant66 employee start work graduate begin career 4
participant66 delegate buy land mother leave house 1
participant66 panel discuss issue project present problem 4
participant66 report stress importance study emphasise need 6
participant66 agent sell property family buy home 1
participant66 charity help people school encourage child 3
participant66 design reduce amount company cut cost 6
participant66 firm cause injury question raise head 1
participant66 man shut door page provide datum 1
participant66 road cross line route follow road 3
participant66 drug produce effect committee consider matter 2
participant66 user send message man hear word 2
participant66 patient need treatment programme offer support 1
participant66 force win battle commodity meet requirement 3
participant66 member attend conference group hold meeting 2
participant66 team win match people play game 4
participant66 company provide system government use power 1
participant66 medication achieve result man lift hand 1
participant66 gentleman close eye father stretch arm 1
participant66 programme face difficulty parent set example 2
participant66 girl like people woman ask man 1
participant66 author write book writer read word 1
participant66 case require attention customer pay price 1
participant66 man wave hand employee leave company 2
participant66 woman drink water doctor use test 1
participant66 people share interest authority exercise influence 1
participant66 service provide help product satisfy demand 3
participant71 pupil use knowledge company provide system 4
participant71 superpower fight war team win match 5
participant71 programme offer support road cross line 1
participant71 wife pour tea study emphasise need 2
participant71 author write book man hear word 2
participant71 page provide datum student reach level 2
participant71 route follow road parent set example 1
participant71 delegate buy land agent sell property 1
participant71 report stress importance company cut cost 1
participant71 woman ask man father stretch arm 1
participant71 charity help people panel discuss issue 3
participant71 question raise head paper address question 2
participant71 medication achieve result drug produce effect 7
participant71 committee consider matter study pose problem 3
participant71 worker join party employee leave company 3
participant71 man shut door gentleman close eye 1
participant71 plan increase number design reduce amount 1
participant71 user send message family receive letter 2
participant71 force win battle people play game 4
participant71 member attend conference people share interest 5
participant71 writer read word people remember name 2
participant71 company suffer loss firm cause injury 1
participant71 doctor use test physician pass time 3
participant71 mother leave house school encourage child 1
participant71 project present problem programme face difficulty 1
participant71 customer pay price graduate begin career 1
participant71 student acquire skill family buy home 3
participant71 girl like people survey collect information 1
